customer_id,tenure_months,monthly_charges,total_charges,support_calls_6m,late_payments_12m,extra_services,contract,internet_service,payment_method,paperless_billing,senior_citizen,has_dependents,churned
C000001,19,62.45,1236.81,1,0,1,Month-to-month,Fibre optic,Electronic cheque,False,False,True,0
C000002,26,20.26,524.6,2,0,1,One year,None,Credit card,True,False,True,0
C000003,17,50.84,870.32,3,1,1,Two year,DSL,Electronic cheque,True,True,True,1
C000004,15,60.24,926.49,1,1,5,Two year,DSL,,False,False,False,0
C000005,28,102.32,2849.4,2,0,0,Month-to-month,Fibre optic,Post,False,False,False,0
C000006,16,15.0,239.11,0,1,0,One year,None,Post,True,False,True,0
C000007,21,116.06,2427.59,1,0,1,Month-to-month,Fibre optic,Credit card,True,False,False,0
C000008,20,50.14,1012.19,0,0,2,One year,DSL,Bank transfer,True,True,False,0
C000009,28,51.76,1554.3,2,0,5,Month-to-month,DSL,Electronic cheque,True,False,False,0
C000010,13,76.37,,1,1,5,One year,Fibre optic,Credit card,True,False,False,1
C000011,34,43.38,1519.85,0,2,1,Month-to-month,DSL,,True,False,True,0
C000012,11,100.01,1070.57,1,0,4,One year,Fibre optic,Credit card,False,False,False,1
C000013,22,72.67,1578.37,1,0,4,Month-to-month,DSL,Electronic cheque,True,False,False,1
C000014,20,95.56,1944.28,3,0,2,Month-to-month,Fibre optic,Electronic cheque,False,False,False,1
C000015,10,76.27,719.98,1,1,2,One year,Fibre optic,Electronic cheque,True,False,True,0
C000016,23,26.16,587.34,2,1,2,Month-to-month,None,Electronic cheque,True,False,False,1
C000017,14,58.07,842.23,2,1,4,One year,DSL,Credit card,True,False,True,0
C000018,7,91.56,661.17,1,0,2,One year,Fibre optic,Electronic cheque,True,False,False,0
C000019,25,102.73,2589.9,0,0,5,One year,Fibre optic,Bank transfer,True,False,False,1
C000020,5,62.08,316.99,1,0,4,One year,Fibre optic,Bank transfer,False,False,False,1
C000021,9,45.42,435.74,0,0,2,One year,DSL,Bank transfer,True,True,False,0
C000022,16,71.81,1140.26,0,0,1,Two year,DSL,Electronic cheque,False,False,False,1
C000023,28,102.84,3065.06,1,0,2,Month-to-month,Fibre optic,Post,True,False,False,0
C000024,24,61.64,1500.47,1,0,2,One year,Fibre optic,Electronic cheque,True,False,False,1
C000025,19,24.82,468.89,1,0,5,One year,None,Bank transfer,True,False,False,0
C000026,4,23.99,100.09,1,1,1,Month-to-month,None,Electronic cheque,False,False,True,0
C000027,10,56.66,553.46,2,0,0,Month-to-month,Fibre optic,Credit card,False,False,False,0
C000028,12,15.0,180.31,0,1,4,Month-to-month,None,Post,True,False,False,0
C000029,7,94.76,658.99,1,1,2,One year,Fibre optic,Electronic cheque,False,False,False,0
C000030,3,65.32,205.27,1,0,5,Month-to-month,DSL,Credit card,False,True,True,0
C000031,17,60.58,1018.2,1,0,3,One year,DSL,Credit card,False,False,False,1
C000032,25,35.68,885.38,0,0,0,One year,None,Electronic cheque,True,False,False,0
C000033,11,91.23,1001.64,2,0,2,One year,Fibre optic,Post,False,False,False,1
C000034,27,23.76,605.28,1,0,2,Month-to-month,None,Credit card,False,False,False,0
C000035,5,38.04,197.35,1,0,5,One year,DSL,Electronic cheque,False,False,False,0
C000036,7,69.11,483.32,0,0,3,One year,DSL,Electronic cheque,False,False,True,0
C000037,17,91.51,1536.42,1,0,1,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000038,11,22.61,254.88,1,0,1,Month-to-month,None,Credit card,True,False,True,0
C000039,24,20.07,478.42,0,0,0,Month-to-month,None,Bank transfer,True,True,False,0
C000040,21,53.99,1146.05,1,0,1,Two year,DSL,,True,False,False,0
C000041,11,93.13,997.18,0,1,2,Month-to-month,Fibre optic,Credit card,True,False,True,1
C000042,5,94.47,463.09,0,0,0,Month-to-month,Fibre optic,Bank transfer,False,False,True,1
C000043,10,17.61,177.52,0,0,1,Month-to-month,None,Credit card,False,True,True,0
C000044,21,38.88,,0,0,2,Month-to-month,DSL,Credit card,False,False,True,0
C000045,24,57.61,1316.6,1,1,5,Month-to-month,Fibre optic,Electronic cheque,True,True,True,0
C000046,11,54.26,622.43,0,1,1,One year,DSL,Credit card,False,False,True,0
C000047,3,74.31,,2,0,3,Month-to-month,Fibre optic,Credit card,False,True,False,1
